Date,File Name,Individual ,Interbeat 1,Interbeat 2,Interbeat 3,Interbeat 4,Interbeat 5,Interbeat 6,Interbeat 7,Interbeat 8,Interbeat 9,Interbeat 10,Interbeat 11,Interbeat 12,Interbeat 13,Context
06/01/2020,chorus_ph_060120_05.WAV,ALF,0.116807,,,,,,,,,,,,,Resting
17/01/2020,ILA_ph_170120_01.WAV,ILA,0.097014,,,,,,,,,,,,,Resting
17/01/2020,ILA_ph_170120_02.WAV,ILA,0.075157,,,,,,,,,,,,,Traveling
18/01/2020,Budongo VE 2020-01-18 Clip 4 MAC PH-DR GR.wav,MAC,0.166722,0.089536,,,,,,,,,,,,Resting
18/01/2020,DAU_ph_180120_01.WAV,DAU,0.072852,,,,,,,,,,,,,Traveling
19/01/2020,Budongo VE 2020-01-19 Clip 3 MAC PH-DR CDU 70 TR.wav,MAC,0.10294,0.249048,0.295537,0.361949,0.04981,0.31546,0.232444,0.31546,,,,,,Traveling
19/01/2020,Budongo VE 2020-01-19 Clip 10 BEN PH-DR TR CMU 60.wav,BEN,0.31546,0.302178,,,,,,,,,,,,Traveling
23/01/2020,Budongo VE 2020-01-23 Clip 15 ALF PH-DR 2+1 GT CYA 90.wav,ALF,0.075587,0.338316,,,,,,,,,,,,Traveling
23/01/2020,Budongo VE 2020-01-23 Clip 2 DAU ph-dr GT CYA 60.wav,DAU,0.125519,,,,,,,,,,,,,Traveling
23/01/2020,Budongo VE 2020-01-23 Clip 14 ALF PH-DR db GT CMU 30.wav,ALF,0.079058,,,,,,,,,,,,,Traveling
28/01/2020,Budongo VE 2020-01-28 Clip60071.MP4 ALF PH DR GT CZE 30.wav,ALF,0.07663,,,,,,,,,,,,,Traveling
28/01/2020,Budongo VE 2020-01-28 Clip60086.MP4 URS and MUG PH DR GR CYA 100 CZE 30.wav,URS,0.030716,,,,,,,,,,,,,Resting
29/01/2020,Budongo VE 2020-01-29 Clip80027.MP4 TRS PH DR 10bs GT CAL 40 PC TRS and MUG.wav,TRS,0.193146,0.16017,0.116202,0.16331,0.169591,0.10678,0.169591,0.150748,0.158599,,,,,Traveling
03/02/2020,Budongo VE 2020-02-03 Clip00003.MP4 URS PH DR.wav,URS,0.288895,0.089657,,,,,,,,,,,,Resting
03/02/2020,Budongo VE 2020-02-03 Clip00004.MP4 URS PH DR GR CYA 70.wav,URS,0.083606,,,,,,,,,,,,,Resting
03/02/2020,Budongo VE 2020-02-03 Clip00024.MP4 URS PH DR GR AB 70.wav,URS,0.075947,,,,,,,,,,,,,Resting
04/02/2020,Budongo VE 2020-02-04 Clip10014.MP4 BEN PH DR GT PC ARD.wav,BEN,0.070651,0.062339,0.203642,0.365724,0.299229,,,,,,,,,Traveling
04/02/2020,Budongo VE 2020-02-04 Clip10082.MP4 ILA PH DR CMI 50 and SAM (not heard?) PH DR CYA 50 GR.wav,ILA,0.064752,,,,,,,,,,,,,Resting
04/02/2020,Budongo VE 2020-02-04 Clip10083.MP4 ILA PH DR GT.wav,ILA,0.10294,,,,,,,,,,,,,Traveling
05/02/2020,chorus_ph_050220_01.WAV,ALF,0.582855,0.129523,,,,,,,,,,,,Traveling
05/02/2020,chorus_ph_050220_01.WAV,ILA,0.051809,0.644379,,,,,,,,,,,,Traveling
05/02/2020,Budongo VE 2020-02-05 Clip20016.MP4 FID PH DR CYA 40 GT.wav,FID,0.078035,,,,,,,,,,,,,Traveling
05/02/2020,ILA_ph_050220_01.WAV,ILA,0.075999,,,,,,,,,,,,,Traveling
06/02/2020,Budongo VE 2020-02-06 Clip30035.MP4 TRS PH DR GR FE 40.wav,TRS,0.091756,0.088697,0.177394,0.085639,0.143751,0.198804,,,,,,,,Resting
06/02/2020,Budongo VE 2020-02-06 Clip30040.MP4 TRS PH DR GR FE FID PH DR GR.wav,TRS,0.116222,0.056451,0.119543,0.099619,0.299124,,,,,,,,,Resting
08/02/2020,LAF_ph_080220_01.WAV,LAF,0.570199,0.297796,,,,,,,,,,,,Traveling
08/02/2020,LAF_ph_080220_02.WAV,LAF,0.059717,0.404447,,,,,,,,,,,,Traveling
09/02/2020,Budongo VE 2020-02-09 Clip40036.MP4 DAU PH DR GT CMU 60.wav,DAU,0.089278,,,,,,,,,,,,,Traveling
09/02/2020,URS_ph_090220_02.WAV,URS,0.631528,,,,,,,,,,,,,Traveling
10/02/2020,Budongo VE 2020-02-10 Clip50014.MP4 ILA 2b+1 PH DR GT CMU 70.wav,ILA,0.053058,0.438428,,,,,,,,,,,,Traveling
10/02/2020,Budongo VE 2020-02-10 Clip50016.MP4 ILA PH DR GT .wav,ILA,0.100274,,,,,,,,,,,,,Traveling
11/02/2020,Budongo VE 2020-02-11 Clip60049.MP4 TRS PH DR GT? CAL 40.wav,TRS,0.178484,0.144448,0.141127,0.174333,0.195917,0.21086,,,,,,,,Traveling
11/02/2020,Budongo VE 2020-02-11 Clip60073.MP4 ALF PH DR CMI 50 GR (during GT).wav,ALF,0.066448,,,,,,,,,,,,,Resting
17/02/2020,Budongo VE 2020-02-17 Clip70027.MP4 ILA PH DR GR CAL 60.wav,ILA,0.089657,0.282254,,,,,,,,,,,,Resting
17/02/2020,Budongo WS GB 2020-02-17 Clip 32 11_36 ILA PH-DR GR CAL 50.wav,ILA,0.099604,0.256628,,,,,,,,,,,,Resting
18/02/2020,Budongo VE 2020-02-18 Clip80003.MP4 FID PH DR AND ILA DR RESP GR CAL 60.wav,FID,0.484775,0.501533,,,,,,,,,,,,Resting
18/02/2020,Budongo VE 2020-02-18 Clip80059.MP4 KEV 2+1b and LAF PH DR 2+1b GT-GR CZE 40.wav,LAF,0.106066,0.682084,,,,,,,,,,,,Traveling
18/02/2020,Budongo VE 2020-02-18 Clip80006.MP4 ILA PH DR GR.wav,ILA,0.078314,,,,,,,,,,,,,Resting
18/02/2020,Budongo VE 2020-02-18 Clip80007.MP4 ILA PH DR GR AND ALF PH DR CAL 70 GR.wav,ALF,0.082824,,,,,,,,,,,,,Resting
18/02/2020,Budongo VE 2020-02-18 Clip80012.MP4 ILA PH DR GR CAL 60.wav,ILA,0.090955,,,,,,,,,,,,,Resting
18/02/2020,Budongo VE 2020-02-18 Clip80015.MP4 ILA PH DR CAL 60 GR.wav,ILA,0.101585,,,,,,,,,,,,,Resting
18/02/2020,Budongo VE 2020-02-18 Clip80038.MP4 ILA PH DR CZE 20.wav,ILA,0.089657,,,,,,,,,,,,,Traveling
21/02/2020,TRS_ph_210220_01.WAV,TRS,0.10295,0.149444,0.073061,0.215863,0.122876,0.212543,0.129518,,,,,,,Traveling
22/02/2020,Budongo VE 2020-02-22 Clip20018.MP4 ALF PH DR GT.wav,ALF,0.06509,,,,,,,,,,,,,Traveling
22/02/2020,Budongo VE 2020-02-22 Clip20022.MP4 ALF PH DR DB GT.wav,ALF,0.076309,,,,,,,,,,,,,Traveling
27/02/2020,Budongo VE 2020-02-27 Clip40014.MP4 BEN PH DR 2B GT AB 40.wav,BEN,0.384845,,,,,,,,,,,,,Traveling
27/02/2020,Budongo VE 2020-02-27 Clip40015.MP4 BEN PH DR 2B GT CYA 90.wav,BEN,0.559174,,,,,,,,,,,,,Traveling
27/02/2020,Budongo VE 2020-02-27 Clip40017.MP4 BEN PH DR 2B GT CAL 30.wav,BEN,0.311531,,,,,,,,,,,,,Traveling
28/02/2020,Budongo VE 2020-02-28 Clip50002.MP4 ILA PH DR 3xDB GT CMI 70.wav,ILA,0.056451,0.635902,0.060602,0.664957,0.05313,,,,,,,,,Traveling
28/02/2020,Budongo VE 2020-02-28 Clip50017.MP4 ILA PH DR 5B GR CYA 90.wav,ILA,0.086337,0.936419,0.119543,0.166032,,,,,,,,,,Resting
