drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040DR,029TR,FID,resting,P29_05,HG,9,,95,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038DR,029TR,ALF,resting,P29_06,CZE,6,127,37,40.42535555,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039DR,029TR,MAS,resting,P29_06,CZE,6,127,37,40.42535555,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040DR,029TR,FID,resting,P29_06,CZE,6,127,37,40.42535555,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_01,CYA,4,175,54,55.70423008,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_02,CMG,2,140,36,44.56338407,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_03,CYA,5,206,52,65.57183655,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_04,ME,2,161,40,51.24789168,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_05,CZE,4,94,26,29.9211293,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_06,CDU,3,145,44,46.1549335,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_07,FAA,1,108,25,34.37746771,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_08,CDU,4,122,34,38.83380611,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003DR,003TR,ALF,arrival at feeding tree,P3_09,CZE,1,39,11,12.41408556,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041DR,030TR,MAC,display,P30_01,CAL,14,,54,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041DR,030TR,MAC,display,P30_02,CMI,5,273,62,86.89859893,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041DR,030TR,MAC,display,P30_03,CMI,3,160,36,50.92958179,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041DR,030TR,MAC,display,P30_04,TAF,2,131,30,41.69859509,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041DR,030TR,MAC,display,P30_05,TAF,1,68,18,21.64507226,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041DR,030TR,MAC,display,P30_06,FSU,4,207,51,65.89014644,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043DR,032TR,LAF,resting,P32_01,CAL,9,,56,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043DR,032TR,LAF,resting,P32_02,CDU,5,,65,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043DR,032TR,LAF,resting,P32_03,CMI,3,132,36,42.01690498,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045DR,034TR,FID,display,P34_01,CZE,4,67,17,21.32676237,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045DR,034TR,FID,display,P34_02,CDU,1,55,15,17.50704374,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045DR,034TR,FID,display,P34_03,CDU,6,122,27,38.83380611,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045DR,034TR,FID,display,P34_04,CDU,3,135,31,42.97183463,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046DR,035TR,MAC,display,P35_01,CMI,10,,108,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046DR,035TR,MAC,display,P35_02,CYA,11,,66,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046DR,035TR,MAC,display,P35_03,CMI,7,181,43,57.6140894,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046DR,035TR,MAC,display,P35_04,COM,7,157,34,49.97465213,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046DR,035TR,MAC,display,P35_05,CYA,4,151,33,48.06479281,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047DR,036TR,LAN,resting,P36_01,CZE,5,110,29,35.01408748,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047DR,036TR,LAN,resting,P36_02,TRD,10,,67,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047DR,036TR,LAN,resting,P36_03,CYA,8,237,71,75.43944303,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_01,CMU,8,,80,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_02,CDU,7,,55,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_03,CZE,2,79,21,25.14648101,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_04,CYA,2,56,15,17.82535363,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_05,ME,2,198,41,63.02535746,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_06,AB,4,366,71,116.5014183,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048DR,037TR,LAN,travel,P37_07,CYA,5,144,34,45.83662361,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049DR,038TR,LAN,display,P38_01,CYA,6,133,30,42.33521486,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049DR,038TR,LAN,display,P38_02,CMU,7,,83,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049DR,038TR,LAN,display,P38_03,CRB,3,142,34,45.20000384,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_01,CYA,14,150,30,47.74648293,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_01,CYA,14,150,30,47.74648293,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_02,CYA,6,141,43,44.88169395,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_02,CYA,6,141,43,44.88169395,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_03,KA,4,221,53,70.34648485,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_03,KA,4,221,53,70.34648485,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_04,CMU,8,,70,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_04,CMU,8,,70,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_05,CMI,5,,72,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_05,CMI,5,,72,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_06,CMI,3,134,33,42.65352475,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_06,CMI,3,134,33,42.65352475,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050DR,039TR,LAN,travel,P39_07,CYA,5,144,39,45.83662361,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051DR,039TR,DAU,travel,P39_07,CYA,5,144,39,45.83662361,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052DR,040TR,ALF,travel,P40_01,AB,4,,80,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052DR,040TR,ALF,travel,P40_02,CAL,8,,56,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052DR,040TR,ALF,travel,P40_03,CZE,4,56,16,17.82535363,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052DR,040TR,ALF,travel,P40_04,CMU,5,,77,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053DR,041TR,MUG,display,P41_01,CYA,17,,104,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053DR,041TR,MUG,display,P41_02,CAL,4,170,48,54.11268065,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053DR,041TR,MUG,display,P41_03,CMI,7,128,34,40.74366543,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053DR,041TR,MUG,display,P41_04,CMI,3,179,40,56.97746963,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_01,CAL,7,,47,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_02,CP/CLP,4,148,32,47.10986316,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_03,CMI,4,174,38,55.3859202,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_04,CDU,5,104,26,33.10422816,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_05,CMI,3,114,29,36.28732702,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_06,CDU,5,120,26,38.19718634,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_07,CP/CLP,5,,39,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054DR,042TR,DAU,travel,P42_08,CDU,7,189,49,60.16056849,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055DR,043TR,DAU,travel,P43_01,CAL,9,,78,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056DR,043TR,FID,travel,P43_01,CAL,9,,78,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055DR,043TR,DAU,travel,P43_02,CDU,4,136,29,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056DR,043TR,FID,travel,P43_02,CDU,4,136,29,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055DR,043TR,DAU,travel,P43_03,CDU,1,153,35,48.70141259,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056DR,043TR,FID,travel,P43_03,CDU,1,153,35,48.70141259,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055DR,043TR,DAU,travel,P43_04,CYA,1,87,23,27.6929601,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056DR,043TR,FID,travel,P43_04,CYA,1,87,23,27.6929601,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055DR,043TR,DAU,travel,P43_05,KA,3,304,80,96.7662054,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056DR,043TR,FID,travel,P43_05,KA,3,304,80,96.7662054,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057DR,044TR,DAU,travel,P44_01,CYA,7,274,60,87.21690881,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057DR,044TR,DAU,travel,P44_02,CYA,8,313,90,99.63099438,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058DR,045TR,DAU,display,P45_01,BSA,7,237,43,75.43944303,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058DR,045TR,DAU,display,P45_02,CZE,3,69,16,21.96338215,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058DR,045TR,DAU,display,P45_03,CMI,5,162,38,51.56620156,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059DR,046TR,DAU,display,P46_01,FSU,5,,84,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060DR,047TR,DAU,display,P46_01,FSU,5,,84,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059DR,046TR,DAU,display,P46_02,CMU,5,,63,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060DR,047TR,DAU,display,P46_02,CMU,5,,63,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059DR,046TR,DAU,display,P46_03,CDU,3,86,24,27.37465021,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060DR,047TR,DAU,display,P46_03,CDU,3,86,24,27.37465021,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059DR,046TR,DAU,display,P46_04,CMI,4,90,25,28.64788976,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060DR,047TR,DAU,display,P46_04,CMI,4,90,25,28.64788976,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059DR,046TR,DAU,display,P46_05,CDU,6,141,40,44.88169395,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059DR,046TR,DAU,display,P46_06,CAL,2,79,22,25.14648101,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060DR,047TR,DAU,display,P47_05,CDU,5,180,48,57.29577951,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060DR,047TR,DAU,display,P47_06,CYA,8,129,23,41.06197532,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061DR,048TR,DAU,travel,P48_01,CMI,6,230,58,73.21127382,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061DR,048TR,DAU,travel,P48_02,CAL,7,,57,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061DR,048TR,DAU,travel,P48_03,CYA,4,102,25,32.46760839,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061DR,048TR,DAU,travel,P48_04,CMI,4,106,23,33.74084794,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061DR,048TR,DAU,travel,P48_05,CWI,4,106,26,33.74084794,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061DR,048TR,DAU,travel,P48_06,CYA,8,129,28,41.06197532,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062DR,049TR,DAU,travel,P49_01,CAL,5,,48,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062DR,049TR,DAU,travel,P49_02,CMI,2,116,23,36.9239468,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062DR,049TR,DAU,travel,P49_03,CDU,3,183,40,58.25070917,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062DR,049TR,DAU,travel,P49_04,CMI,5,226,43,71.93803428,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062DR,049TR,DAU,travel,P49_05,CAL,4,108,24,34.37746771,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062DR,049TR,DAU,travel,P49_06,CWI,5,71,20,22.60000192,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009DR,009TR,BEN,travel,P9_01,CYA,13,194,58,61.75211792,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
