drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012DR,012TR,ILA,arrival at feeding tree,P12_02,CYA,13,226,71,71.93803428,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012DR,012TR,ILA,arrival at feeding tree,P12_03,CMI,2,75,23,23.87324146,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012DR,012TR,ILA,arrival at feeding tree,P12_04,CZE,5,164,52,52.20282133,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012DR,012TR,ILA,arrival at feeding tree,P12_05,CZE,4,125,44,39.78873577,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012DR,012TR,ILA,arrival at feeding tree,P12_06,CYA,14,,90,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012DR,012TR,ILA,arrival at feeding tree,P12_07,CZE,8,103,30,32.78591828,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013DR,013TR,MUG,display,P13_01,CZE,7,177,55,56.34084985,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DR,014TR,MUG,display,P14_01,CYA,6,220,64,70.02817496,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DR,014TR,MUG,display,P14_02,AZ,10,213,71,67.80000576,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DR,014TR,MUG,display,P14_03,AB,3,162,64,51.56620156,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DR,014TR,MUG,display,P14_04,MB,3,176,45,56.02253997,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DR,014TR,MUG,display,P14_05,AB,3,195,47,62.07042781,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DR,014TR,MUG,display,P14_06,CYA,6,,76,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015DR,015TR,MUG,display,P15_01,CYA,6,266,77,84.67042972,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015DR,015TR,MUG,display,P15_02,AZ,15,213,72,67.80000576,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015DR,015TR,MUG,display,P15_03,CYA,10,152,60,48.3831027,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
